t_resolution                            - 0.01
accuracy                                - 3

u                                       - 94.44
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 0.045
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	94.44	45.0	66.76907999999999	66.76907999999999	0.0	0.0	-	-	-	-	-
0.01	1.668	91.813	44.957	64.873	64.971	0.668	0.668	-11.446	-8.092	-8.092	-189.626	-179.826
0.02	2.317	89.39	44.915	63.114	63.302	1.317	1.318	-10.818	-7.648	-7.659	-179.76	-170.201
0.03	2.948	87.029	44.873	61.403	61.675	1.948	1.951	-10.254	-7.24	-7.26	-170.68	-161.336
0.04	3.562	84.847	44.832	59.82	60.172	2.562	2.568	-9.72	-6.862	-6.891	-162.294	-153.142
0.05	4.16	82.713	44.79	58.272	58.701	3.16	3.17	-9.239	-6.513	-6.55	-154.538	-145.559
0.06	4.743	80.738	44.748	56.839	57.341	3.743	3.757	-8.78	-6.19	-6.234	-147.349	-138.524
0.07	5.311	78.799	44.706	55.433	56.004	4.311	4.33	-8.365	-5.889	-5.939	-140.673	-131.988
0.08	5.865	76.949	44.624	54.053	54.767	4.865	4.89	-7.968	-5.602	-5.666	-134.285	-125.902
0.09	6.405	75.182	44.542	52.735	53.585	5.405	5.438	-7.599	-5.334	-5.41	-128.339	-120.228
0.1	6.932	73.493	44.459	51.475	52.455	5.932	5.974	-7.254	-5.085	-5.172	-122.797	-114.931
0.11	7.446	71.877	44.377	50.269	51.374	6.446	6.499	-6.931	-4.852	-4.949	-117.623	-109.979
0.12	7.948	70.329	44.295	49.114	50.339	6.948	7.013	-6.63	-4.634	-4.74	-112.786	-105.343
0.13	8.439	68.845	44.212	48.007	49.346	7.439	7.517	-6.347	-4.431	-4.545	-108.256	-100.995
0.14	8.919	67.422	44.13	46.945	48.393	7.919	8.011	-6.082	-4.239	-4.361	-104.01	-96.913
0.15	9.388	66.055	44.048	45.925	47.478	8.388	8.495	-5.834	-4.06	-4.189	-100.026	-93.078
0.16	9.847	64.742	43.965	44.945	46.599	8.847	8.97	-5.599	-3.892	-4.026	-96.28	-89.466
0.17	10.296	63.48	43.883	44.003	45.754	9.296	9.436	-5.379	-3.733	-3.873	-92.757	-86.065
0.18	10.736	62.266	43.801	43.097	44.941	9.736	9.894	-5.171	-3.584	-3.729	-89.439	-82.857
0.19	11.167	61.097	43.718	42.225	44.158	10.167	10.344	-4.975	-3.443	-3.592	-86.312	-79.829
0.2	11.589	59.971	43.636	41.384	43.403	10.589	10.786	-4.79	-3.31	-3.463	-83.359	-76.966
0.21	12.003	58.886	43.554	40.574	42.676	11.003	11.22	-4.615	-3.185	-3.342	-80.57	-74.258
0.22	12.409	57.84	43.471	39.793	41.975	11.409	11.647	-4.45	-3.066	-3.226	-77.934	-71.694
0.23	12.807	56.831	43.389	39.04	41.299	11.807	12.067	-4.293	-2.954	-3.117	-75.439	-69.265
0.24	13.197	55.857	43.307	38.312	40.647	12.197	12.48	-4.145	-2.847	-3.013	-73.077	-66.961
0.25	13.58	54.916	43.224	37.61	40.016	12.58	12.887	-4.004	-2.747	-2.915	-70.838	-64.775
0.26	13.956	54.007	43.142	36.93	39.407	12.956	13.287	-3.87	-2.651	-2.821	-68.713	-62.697
0.27	14.325	53.128	43.06	36.274	38.818	13.325	13.681	-3.743	-2.56	-2.732	-66.695	-60.722
0.28	14.688	52.278	42.977	35.639	38.248	13.688	14.069	-3.622	-2.474	-2.648	-64.778	-58.842
