t_resolution                            - 0.01
accuracy                                - 3

u                                       - 500.0
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 10.0
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	500.0	45.0	353.5	353.5	0.0	0.0	-	-	-	-	-
0.01	4.535	499.534	44.992	353.175	353.273	3.535	3.535	-320.828	-226.826	-226.826	-32.483	-22.683
0.02	8.067	499.069	44.992	352.846	352.944	7.067	7.067	-320.23	-226.403	-226.403	-32.44	-22.64
0.03	11.595	498.605	44.992	352.518	352.616	10.595	10.595	-319.635	-225.982	-225.982	-32.398	-22.598
0.04	15.12	498.141	44.992	352.19	352.288	14.12	14.12	-319.04	-225.562	-225.562	-32.356	-22.556
0.05	18.642	497.678	44.992	351.863	351.961	17.642	17.642	-318.447	-225.142	-225.142	-32.314	-22.514
0.06	22.161	497.216	44.992	351.536	351.634	21.161	21.161	-317.855	-224.724	-224.724	-32.272	-22.472
0.07	25.676	496.754	44.992	351.209	351.307	24.676	24.676	-317.265	-224.307	-224.307	-32.231	-22.431
0.08	29.188	496.293	44.992	350.883	350.981	28.188	28.188	-316.676	-223.89	-223.89	-32.189	-22.389
0.09	32.697	495.833	44.992	350.558	350.656	31.697	31.697	-316.089	-223.475	-223.475	-32.147	-22.347
0.1	36.203	495.373	44.992	350.233	350.331	35.203	35.203	-315.503	-223.061	-223.061	-32.106	-22.306
0.11	39.705	494.914	44.992	349.908	350.006	38.705	38.705	-314.918	-222.647	-222.647	-32.065	-22.265
0.12	43.204	494.456	44.992	349.584	349.682	42.204	42.204	-314.334	-222.234	-222.234	-32.023	-22.223
0.13	46.7	493.998	44.992	349.261	349.359	45.7	45.7	-313.753	-221.823	-221.823	-31.982	-22.182
0.14	50.193	493.541	44.992	348.937	349.035	49.193	49.193	-313.172	-221.413	-221.413	-31.941	-22.141
0.15	53.682	493.085	44.992	348.614	348.712	52.682	52.682	-312.593	-221.003	-221.003	-31.9	-22.1
0.16	57.168	492.629	44.992	348.293	348.391	56.168	56.168	-312.015	-220.595	-220.595	-31.859	-22.059
0.17	60.651	492.174	44.992	347.971	348.069	59.651	59.651	-311.439	-220.187	-220.187	-31.819	-22.019
0.18	64.131	491.72	44.992	347.649	347.747	63.131	63.131	-310.864	-219.781	-219.781	-31.778	-21.978
0.19	67.607	491.266	44.992	347.329	347.427	66.607	66.607	-310.29	-219.375	-219.375	-31.738	-21.938
0.2	71.08	490.813	44.992	347.008	347.106	70.08	70.08	-309.718	-218.97	-218.97	-31.697	-21.897
0.21	74.55	490.36	44.992	346.688	346.786	73.55	73.55	-309.147	-218.567	-218.567	-31.657	-21.857
0.22	78.017	489.908	44.992	346.368	346.466	77.017	77.017	-308.576	-218.163	-218.163	-31.616	-21.816
0.23	81.481	489.457	44.992	346.049	346.147	80.481	80.481	-308.008	-217.761	-217.761	-31.576	-21.776
0.24	84.941	489.006	44.992	345.731	345.829	83.941	83.941	-307.441	-217.361	-217.361	-31.536	-21.736
0.25	88.398	488.556	44.992	345.412	345.51	87.398	87.398	-306.875	-216.96	-216.96	-31.496	-21.696
0.26	91.852	488.107	44.992	345.095	345.193	90.852	90.852	-306.31	-216.561	-216.561	-31.456	-21.656
0.27	95.303	487.658	44.992	344.777	344.875	94.303	94.303	-305.747	-216.163	-216.163	-31.416	-21.616
0.28	98.751	487.21	44.992	344.46	344.558	97.751	97.751	-305.185	-215.766	-215.766	-31.377	-21.577
0.29	102.196	486.763	44.992	344.144	344.242	101.196	101.196	-304.625	-215.37	-215.37	-31.337	-21.537
0.3	105.637	486.316	44.992	343.828	343.926	104.637	104.637	-304.066	-214.975	-214.975	-31.297	-21.497
0.31	109.075	485.87	44.992	343.513	343.611	108.075	108.075	-303.508	-214.58	-214.58	-31.258	-21.458
0.32	112.51	485.424	44.992	343.198	343.296	111.51	111.51	-302.951	-214.186	-214.186	-31.219	-21.419
0.33	115.942	484.979	44.992	342.883	342.981	114.942	114.942	-302.395	-213.793	-213.793	-31.179	-21.379
0.34	119.371	484.535	44.992	342.569	342.667	118.371	118.371	-301.841	-213.402	-213.402	-31.14	-21.34
0.35	122.797	484.091	44.992	342.255	342.353	121.797	121.797	-301.289	-213.011	-213.011	-31.101	-21.301
0.36	126.22	483.648	44.992	341.942	342.04	125.22	125.22	-300.737	-212.621	-212.621	-31.062	-21.262
0.37	129.639	483.206	44.992	341.629	341.727	128.639	128.639	-300.187	-212.232	-212.232	-31.023	-21.223
0.38	133.055	482.764	44.992	341.317	341.415	132.055	132.055	-299.638	-211.844	-211.844	-30.984	-21.184
0.39	136.468	482.323	44.992	341.005	341.103	135.468	135.468	-299.09	-211.457	-211.457	-30.946	-21.146
0.4	139.878	481.882	44.992	340.693	340.791	138.878	138.878	-298.544	-211.071	-211.071	-30.907	-21.107
0.41	143.285	481.442	44.992	340.382	340.48	142.285	142.285	-297.998	-210.685	-210.685	-30.868	-21.068
0.42	146.689	481.003	44.992	340.071	340.169	145.689	145.689	-297.454	-210.3	-210.3	-30.83	-21.03
0.43	150.09	480.564	44.992	339.761	339.859	149.09	149.09	-296.912	-209.917	-209.917	-30.792	-20.992
0.44	153.488	480.126	44.992	339.451	339.549	152.488	152.488	-296.371	-209.534	-209.534	-30.753	-20.953
0.45	156.882	479.688	44.992	339.142	339.24	155.882	155.882	-295.831	-209.152	-209.152	-30.715	-20.915
0.46	160.273	479.251	44.992	338.833	338.931	159.273	159.273	-295.291	-208.771	-208.771	-30.677	-20.877
0.47	163.661	478.815	44.992	338.524	338.622	162.661	162.661	-294.753	-208.391	-208.391	-30.639	-20.839
