t_resolution                            - 0.01
accuracy                                - 3

u                                       - 94.44
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 0.045
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	94.44	45.0	66.76907999999999	66.76907999999999	0.0	0.0	-	-	-	-	-
0.01	1.668	91.813	44.957	64.873	64.971	0.668	0.668	-11.446	-8.092	-8.092	-189.626	-179.826
0.02	2.317	89.39	44.915	63.114	63.302	1.317	1.318	-10.818	-7.648	-7.659	-179.76	-170.201
0.03	2.948	87.029	44.873	61.403	61.675	1.948	1.951	-10.254	-7.24	-7.26	-170.68	-161.336
0.04	3.562	84.847	44.832	59.82	60.172	2.562	2.568	-9.72	-6.862	-6.891	-162.294	-153.142
0.05	4.16	82.713	44.79	58.272	58.701	3.16	3.17	-9.239	-6.513	-6.55	-154.538	-145.559
0.06	4.743	80.738	44.748	56.839	57.341	3.743	3.757	-8.78	-6.19	-6.234	-147.349	-138.524
0.07	5.311	78.799	44.706	55.433	56.004	4.311	4.33	-8.365	-5.889	-5.939	-140.673	-131.988
0.08	5.865	76.949	44.624	54.053	54.767	4.865	4.89	-7.968	-5.602	-5.666	-134.285	-125.902
0.09	6.405	75.182	44.542	52.735	53.585	5.405	5.438	-7.599	-5.334	-5.41	-128.339	-120.228
0.1	6.932	73.493	44.459	51.475	52.455	5.932	5.974	-7.254	-5.085	-5.172	-122.797	-114.931
