t_resolution                            - 0.01
accuracy                                - 3

u                                       - 150.0
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 0.01
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	150.0	45.0	106.05	106.05	0.0	0.0	-	-	-	-	-
0.01	2.061	121.038	44.967	85.538	85.636	1.06	1.06	-28.875	-20.414	-20.414	-2051.23	-2041.43
0.02	2.917	102.225	44.921	72.184	72.384	1.916	1.917	-18.801	-13.292	-13.311	-1339.016	-1331.096
0.03	3.639	88.732	44.874	62.605	62.881	2.638	2.641	-13.411	-9.468	-9.495	-956.585	-949.467
0.04	4.265	78.603	44.828	55.413	55.747	3.264	3.27	-10.104	-7.133	-7.164	-723.142	-716.373
0.05	4.819	70.595	44.782	49.727	50.108	3.818	3.827	-7.929	-5.59	-5.622	-568.785	-562.156
0.06	5.316	64.121	44.695	45.098	45.582	4.315	4.328	-6.396	-4.502	-4.541	-460.049	-454.087
0.07	5.767	58.768	44.608	41.27	41.839	4.766	4.784	-5.276	-3.709	-3.751	-380.727	-375.148
0.08	6.18	54.26	44.521	38.046	38.687	5.179	5.202	-4.432	-3.111	-3.156	-320.937	-315.569
0.09	6.56	50.407	44.434	35.29	35.993	5.559	5.589	-3.778	-2.649	-2.694	-274.656	-269.39
0.1	6.913	47.073	44.348	32.904	33.662	5.912	5.949	-3.261	-2.283	-2.328	-238.051	-232.816
0.11	7.242	44.157	44.261	30.818	31.624	6.241	6.286	-2.844	-1.988	-2.033	-208.571	-203.321
0.12	7.55	41.583	44.174	28.977	29.825	6.549	6.602	-2.502	-1.747	-1.792	-184.457	-179.161
0.13	7.84	39.294	44.087	27.339	28.224	6.839	6.9	-2.219	-1.547	-1.591	-164.467	-159.105
0.14	8.113	37.243	44.0	25.872	26.79	7.112	7.182	-1.981	-1.379	-1.423	-147.71	-142.269
0.15	8.372	35.395	43.914	24.549	25.498	7.371	7.45	-1.78	-1.237	-1.28	-133.511	-127.983
0.16	8.618	33.72	43.827	23.35	24.327	7.617	7.705	-1.608	-1.116	-1.158	-121.377	-115.757
0.17	8.851	32.172	43.698	22.226	23.26	7.85	7.948	-1.459	-1.01	-1.052	-110.775	-105.207
0.18	9.073	30.779	43.572	21.215	22.3	8.072	8.181	-1.328	-0.918	-0.96	-101.584	-96.034
0.19	9.285	29.501	43.404	20.271	21.433	8.284	8.404	-1.216	-0.838	-0.881	-93.565	-88.141
0.2	9.488	28.324	43.236	19.402	20.635	8.487	8.618	-1.117	-0.767	-0.812	-86.53	-81.197
0.21	9.682	27.237	43.067	18.599	19.898	8.681	8.824	-1.03	-0.705	-0.751	-80.323	-75.053
0.22	9.868	26.229	42.899	17.855	19.214	8.867	9.023	-0.952	-0.65	-0.696	-74.824	-69.593
0.23	10.047	25.293	42.731	17.163	18.579	9.046	9.215	-0.883	-0.601	-0.647	-69.923	-64.714
