t_resolution                            - 0.01
accuracy                                - 3

u                                       - 150.0
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 10.0
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	150.0	45.0	106.05	106.05	0.0	0.0	-	-	-	-	-
0.01	2.061	149.879	44.974	105.932	106.03	1.06	1.06	-28.875	-20.414	-20.414	-11.841	-2.041
0.02	3.121	149.758	44.973	105.846	105.944	2.12	2.12	-28.828	-20.381	-20.381	-11.838	-2.038
0.03	4.18	149.637	44.973	105.761	105.859	3.179	3.179	-28.781	-20.348	-20.348	-11.835	-2.035
0.04	5.238	149.516	44.973	105.675	105.773	4.237	4.237	-28.735	-20.316	-20.316	-11.832	-2.032
0.05	6.295	149.395	44.973	105.59	105.688	5.294	5.294	-28.689	-20.283	-20.283	-11.828	-2.028
0.06	7.351	149.275	44.973	105.504	105.602	6.35	6.35	-28.642	-20.25	-20.25	-11.825	-2.025
0.07	8.406	149.155	44.973	105.419	105.517	7.405	7.405	-28.596	-20.217	-20.217	-11.822	-2.022
0.08	9.461	149.035	44.973	105.334	105.432	8.46	8.46	-28.55	-20.185	-20.185	-11.818	-2.018
0.09	10.515	148.915	44.973	105.25	105.348	9.514	9.514	-28.504	-20.152	-20.152	-11.815	-2.015
0.1	11.568	148.795	44.973	105.165	105.263	10.567	10.567	-28.458	-20.12	-20.12	-11.812	-2.012
0.11	12.62	148.675	44.973	105.08	105.178	11.619	11.619	-28.412	-20.088	-20.088	-11.809	-2.009
0.12	13.671	148.555	44.973	104.995	105.093	12.67	12.67	-28.367	-20.055	-20.055	-11.806	-2.006
0.13	14.721	148.435	44.973	104.91	105.008	13.72	13.72	-28.321	-20.023	-20.023	-11.802	-2.002
0.14	15.77	148.315	44.973	104.826	104.924	14.769	14.769	-28.275	-19.991	-19.991	-11.799	-1.999
0.15	16.819	148.195	44.973	104.741	104.839	15.818	15.818	-28.229	-19.958	-19.958	-11.796	-1.996
0.16	17.867	148.075	44.973	104.656	104.754	16.866	16.866	-28.184	-19.926	-19.926	-11.793	-1.993
0.17	18.914	147.955	44.973	104.571	104.669	17.913	17.913	-28.138	-19.894	-19.894	-11.789	-1.989
0.18	19.96	147.835	44.973	104.486	104.584	18.959	18.959	-28.093	-19.861	-19.861	-11.786	-1.986
0.19	21.005	147.715	44.973	104.402	104.5	20.004	20.004	-28.047	-19.829	-19.829	-11.783	-1.983
0.2	22.049	147.595	44.973	104.317	104.415	21.048	21.048	-28.002	-19.797	-19.797	-11.78	-1.98
0.21	23.092	147.475	44.973	104.232	104.33	22.091	22.091	-27.956	-19.765	-19.765	-11.776	-1.976
0.22	24.135	147.356	44.973	104.147	104.245	23.134	23.134	-27.911	-19.733	-19.733	-11.773	-1.973
0.23	25.177	147.237	44.973	104.063	104.161	24.176	24.176	-27.866	-19.701	-19.701	-11.77	-1.97
0.24	26.218	147.118	44.973	103.979	104.077	25.217	25.217	-27.821	-19.669	-19.669	-11.767	-1.967
0.25	27.258	146.999	44.973	103.895	103.993	26.257	26.257	-27.776	-19.637	-19.637	-11.764	-1.964
0.26	28.297	146.88	44.973	103.811	103.909	27.296	27.296	-27.731	-19.606	-19.606	-11.761	-1.961
0.27	29.335	146.761	44.973	103.727	103.825	28.334	28.334	-27.686	-19.574	-19.574	-11.757	-1.957
0.28	30.373	146.642	44.973	103.642	103.74	29.372	29.372	-27.641	-19.542	-19.542	-11.754	-1.954
0.29	31.41	146.523	44.973	103.558	103.656	30.409	30.409	-27.596	-19.511	-19.511	-11.751	-1.951
0.3	32.446	146.404	44.973	103.474	103.572	31.445	31.445	-27.551	-19.479	-19.479	-11.748	-1.948
0.31	33.481	146.285	44.973	103.39	103.488	32.48	32.48	-27.507	-19.447	-19.447	-11.745	-1.945
0.32	34.515	146.166	44.973	103.306	103.404	33.514	33.514	-27.462	-19.416	-19.416	-11.742	-1.942
0.33	35.548	146.047	44.973	103.222	103.32	34.547	34.547	-27.417	-19.384	-19.384	-11.738	-1.938
0.34	36.581	145.928	44.973	103.138	103.236	35.58	35.58	-27.373	-19.353	-19.353	-11.735	-1.935
0.35	37.613	145.809	44.973	103.054	103.152	36.612	36.612	-27.328	-19.321	-19.321	-11.732	-1.932
0.36	38.644	145.69	44.973	102.97	103.068	37.643	37.643	-27.284	-19.289	-19.289	-11.729	-1.929
0.37	39.674	145.571	44.973	102.886	102.984	38.673	38.673	-27.239	-19.258	-19.258	-11.726	-1.926
0.38	40.703	145.453	44.973	102.801	102.899	39.702	39.702	-27.195	-19.227	-19.227	-11.723	-1.923
0.39	41.731	145.335	44.973	102.718	102.816	40.73	40.73	-27.151	-19.195	-19.195	-11.72	-1.92
0.4	42.759	145.217	44.973	102.635	102.733	41.758	41.758	-27.106	-19.164	-19.164	-11.716	-1.916
0.41	43.786	145.099	44.973	102.551	102.649	42.785	42.785	-27.062	-19.133	-19.133	-11.713	-1.913
0.42	44.812	144.981	44.973	102.468	102.566	43.811	43.811	-27.019	-19.102	-19.102	-11.71	-1.91
0.43	45.837	144.863	44.973	102.384	102.482	44.836	44.836	-26.975	-19.071	-19.071	-11.707	-1.907
0.44	46.861	144.745	44.973	102.301	102.399	45.86	45.86	-26.931	-19.04	-19.04	-11.704	-1.904
0.45	47.884	144.627	44.973	102.218	102.316	46.883	46.883	-26.887	-19.009	-19.009	-11.701	-1.901
0.46	48.907	144.509	44.973	102.134	102.232	47.906	47.906	-26.843	-18.978	-18.978	-11.698	-1.898
0.47	49.929	144.391	44.973	102.051	102.149	48.928	48.928	-26.799	-18.947	-18.947	-11.695	-1.895
0.48	50.95	144.273	44.972	101.968	102.066	49.949	49.949	-26.755	-18.916	-18.916	-11.692	-1.892
0.49	51.97	144.155	44.972	101.884	101.982	50.969	50.969	-26.712	-18.885	-18.885	-11.689	-1.889
0.5	52.989	144.037	44.972	101.801	101.899	51.988	51.988	-26.668	-18.854	-18.854	-11.685	-1.885
0.51	54.007	143.919	44.972	101.717	101.815	53.006	53.006	-26.624	-18.823	-18.823	-11.682	-1.882
0.52	55.025	143.801	44.972	101.634	101.732	54.024	54.024	-26.581	-18.793	-18.793	-11.679	-1.879
0.53	56.042	143.683	44.972	101.551	101.649	55.041	55.041	-26.537	-18.762	-18.762	-11.676	-1.876
0.54	57.058	143.566	44.972	101.467	101.565	56.057	56.057	-26.494	-18.731	-18.731	-11.673	-1.873
0.55	58.073	143.449	44.972	101.384	101.482	57.072	57.072	-26.451	-18.701	-18.701	-11.67	-1.87
0.56	59.087	143.332	44.972	101.302	101.4	58.086	58.086	-26.408	-18.67	-18.67	-11.667	-1.867
0.57	60.1	143.215	44.972	101.219	101.317	59.099	59.099	-26.364	-18.64	-18.64	-11.664	-1.864
0.58	61.113	143.098	44.972	101.136	101.234	60.112	60.112	-26.321	-18.609	-18.609	-11.661	-1.861
0.59	62.125	142.981	44.972	101.054	101.152	61.124	61.124	-26.278	-18.579	-18.579	-11.658	-1.858
0.6	63.136	142.864	44.972	100.971	101.069	62.135	62.135	-26.235	-18.548	-18.548	-11.655	-1.855
0.61	64.146	142.747	44.972	100.888	100.986	63.145	63.145	-26.193	-18.518	-18.518	-11.652	-1.852
0.62	65.155	142.63	44.972	100.806	100.904	64.154	64.154	-26.15	-18.488	-18.488	-11.649	-1.849
0.63	66.163	142.513	44.972	100.723	100.821	65.162	65.162	-26.107	-18.458	-18.458	-11.646	-1.846
0.64	67.171	142.396	44.972	100.64	100.738	66.17	66.17	-26.064	-18.427	-18.427	-11.643	-1.843
0.65	68.178	142.279	44.972	100.558	100.656	67.177	67.177	-26.021	-18.397	-18.397	-11.64	-1.84
0.66	69.184	142.162	44.972	100.475	100.573	68.183	68.183	-25.979	-18.367	-18.367	-11.637	-1.837
0.67	70.189	142.045	44.972	100.392	100.49	69.188	69.188	-25.936	-18.337	-18.337	-11.634	-1.834
0.68	71.193	141.928	44.972	100.31	100.408	70.192	70.192	-25.893	-18.306	-18.306	-11.631	-1.831
0.69	72.196	141.811	44.972	100.227	100.325	71.195	71.195	-25.85	-18.276	-18.276	-11.628	-1.828
0.7	73.199	141.695	44.972	100.144	100.242	72.198	72.198	-25.808	-18.246	-18.246	-11.625	-1.825
0.71	74.201	141.579	44.972	100.062	100.16	73.2	73.2	-25.766	-18.216	-18.216	-11.622	-1.822
0.72	75.202	141.463	44.972	99.98	100.078	74.201	74.201	-25.724	-18.187	-18.187	-11.619	-1.819
0.73	76.202	141.347	44.972	99.898	99.996	75.201	75.201	-25.681	-18.157	-18.157	-11.616	-1.816
0.74	77.201	141.231	44.972	99.816	99.914	76.2	76.2	-25.639	-18.127	-18.127	-11.613	-1.813
0.75	78.2	141.115	44.972	99.734	99.832	77.199	77.199	-25.597	-18.097	-18.097	-11.61	-1.81
0.76	79.198	140.999	44.972	99.652	99.75	78.197	78.197	-25.555	-18.068	-18.068	-11.607	-1.807
0.77	80.195	140.883	44.972	99.57	99.668	79.194	79.194	-25.513	-18.038	-18.038	-11.604	-1.804
0.78	81.191	140.767	44.972	99.488	99.586	80.19	80.19	-25.471	-18.008	-18.008	-11.601	-1.801
0.79	82.186	140.651	44.972	99.406	99.504	81.185	81.185	-25.429	-17.979	-17.979	-11.598	-1.798
0.8	83.18	140.535	44.972	99.324	99.422	82.179	82.179	-25.387	-17.949	-17.949	-11.595	-1.795
0.81	84.174	140.419	44.972	99.242	99.34	83.173	83.173	-25.346	-17.919	-17.919	-11.592	-1.792
0.82	85.167	140.303	44.972	99.16	99.258	84.166	84.166	-25.304	-17.89	-17.89	-11.589	-1.789
0.83	86.159	140.187	44.972	99.078	99.176	85.158	85.158	-25.262	-17.86	-17.86	-11.586	-1.786
0.84	87.15	140.071	44.972	98.996	99.094	86.149	86.149	-25.22	-17.831	-17.831	-11.583	-1.783
0.85	88.14	139.955	44.972	98.914	99.012	87.139	87.139	-25.178	-17.801	-17.801	-11.58	-1.78
0.86	89.129	139.839	44.972	98.832	98.93	88.128	88.128	-25.137	-17.772	-17.772	-11.577	-1.777
0.87	90.118	139.724	44.972	98.75	98.848	89.117	89.117	-25.095	-17.742	-17.742	-11.574	-1.774
0.88	91.106	139.609	44.972	98.669	98.767	90.105	90.105	-25.054	-17.713	-17.713	-11.571	-1.771
0.89	92.093	139.494	44.972	98.588	98.686	91.092	91.092	-25.013	-17.684	-17.684	-11.568	-1.768
0.9	93.079	139.379	44.972	98.507	98.605	92.078	92.078	-24.971	-17.655	-17.655	-11.565	-1.765
0.91	94.064	139.264	44.971	98.425	98.523	93.063	93.063	-24.93	-17.626	-17.626	-11.563	-1.763
0.92	95.049	139.149	44.971	98.344	98.442	94.048	94.048	-24.889	-17.597	-17.597	-11.56	-1.76
0.93	96.033	139.034	44.971	98.263	98.361	95.032	95.032	-24.848	-17.568	-17.568	-11.557	-1.757
0.94	97.016	138.919	44.971	98.181	98.279	96.015	96.015	-24.807	-17.539	-17.539	-11.554	-1.754
0.95	97.998	138.804	44.971	98.1	98.198	96.997	96.997	-24.766	-17.51	-17.51	-11.551	-1.751
0.96	98.979	138.689	44.971	98.019	98.117	97.978	97.978	-24.725	-17.481	-17.481	-11.548	-1.748
0.97	99.96	138.574	44.971	97.938	98.036	98.959	98.959	-24.684	-17.452	-17.452	-11.545	-1.745
0.98	100.94	138.459	44.971	97.856	97.954	99.939	99.939	-24.643	-17.423	-17.423	-11.542	-1.742
0.99	101.919	138.344	44.971	97.775	97.873	100.918	100.918	-24.602	-17.394	-17.394	-11.539	-1.739
1.0	102.897	138.229	44.971	97.694	97.792	101.896	101.896	-24.561	-17.365	-17.365	-11.536	-1.736
1.01	103.874	138.114	44.971	97.613	97.711	102.873	102.873	-24.521	-17.336	-17.336	-11.534	-1.734
1.02	104.85	137.999	44.971	97.531	97.629	103.849	103.849	-24.48	-17.307	-17.307	-11.531	-1.731
1.03	105.826	137.884	44.971	97.45	97.548	104.825	104.825	-24.439	-17.278	-17.278	-11.528	-1.728
1.04	106.801	137.77	44.971	97.369	97.467	105.8	105.8	-24.398	-17.25	-17.25	-11.525	-1.725
1.05	107.775	137.656	44.971	97.288	97.386	106.774	106.774	-24.358	-17.221	-17.221	-11.522	-1.722
1.06	108.748	137.542	44.971	97.208	97.306	107.747	107.747	-24.318	-17.193	-17.193	-11.519	-1.719
1.07	109.72	137.428	44.971	97.127	97.225	108.719	108.719	-24.277	-17.164	-17.164	-11.516	-1.716
1.08	110.692	137.314	44.971	97.046	97.144	109.691	109.691	-24.237	-17.136	-17.136	-11.514	-1.714
1.09	111.663	137.2	44.971	96.966	97.064	110.662	110.662	-24.197	-17.107	-17.107	-11.511	-1.711
1.1	112.633	137.086	44.971	96.885	96.983	111.632	111.632	-24.157	-17.079	-17.079	-11.508	-1.708
1.11	113.602	136.972	44.971	96.805	96.903	112.601	112.601	-24.117	-17.051	-17.051	-11.505	-1.705
1.12	114.57	136.858	44.971	96.724	96.822	113.569	113.569	-24.077	-17.022	-17.022	-11.502	-1.702
1.13	115.538	136.744	44.971	96.644	96.742	114.537	114.537	-24.037	-16.994	-16.994	-11.499	-1.699
1.14	116.505	136.63	44.971	96.563	96.661	115.504	115.504	-23.997	-16.966	-16.966	-11.497	-1.697
1.15	117.471	136.516	44.971	96.482	96.58	116.47	116.47	-23.957	-16.937	-16.937	-11.494	-1.694
1.16	118.436	136.402	44.971	96.402	96.5	117.435	117.435	-23.917	-16.909	-16.909	-11.491	-1.691
1.17	119.4	136.288	44.971	96.321	96.419	118.399	118.399	-23.877	-16.881	-16.881	-11.488	-1.688
